,title,company,abst1,abst2,price,initial_price,free_plan,free_trial,detail_link
0,WisTalk（ウィズトーク）,パナソニック ソリューションテクノロジー株式会社,"問い合わせ対応業務の負荷を約50％軽減！
「Microsoft Teams」や「LINE」でも利用可能！
平均正答率75％、導入は最短3週間、継続利用率95％","パナソニック独自開発のAIエンジンを搭載した「WisTalk」が機能強化して登場！
「未知語」検出強化など、AIの進化により回答精度のさらなる向上を実現
管理者が行うQ&Aデータのメンテナンス作業を大幅に削減可能",月額10万円～,0円,なし,あり,https://ai-products.net/product/wistalk/
1,HUE Works Suite DX Solutions Chatbot,株式会社ワークスアプリケーションズ,"AI研究の専門機関”徳島人工知能NLP研究所”が開発！
日本最大規模の辞書を搭載したAIチャットボット","社内外の問い合わせ業務を効率化するAI対話ツールです。
NLP（自然言語処理）技術を応用することでまるで人と話すような対話を実現。
充実した管理者サポート機能に加え、業界用語などユーザー固有の言葉も辞書に登録できるので長期的に活用いただけます。",月額10万円～,30万円～,なし,あり,https://ai-products.net/product/hue/
2,amie Helpbot,ペネトレイト・オブ・リミット株式会社,"シナリオ作成は一切不要！
既にあるドキュメントやＦＡＱを自動で学習！
最短1日で導入可能なお手軽チャットボット。","既存のマニュアルを自動で学習しわずか2ステップでチャットボットが作成できます。
チャットボット導入にかかる時間や更新作業の工数を80％以上をカットし、
チャットボットの導入を圧倒的なスピードで実現。学習機能を充実させながら管理者をしっかりサポートします。",お問い合わせください,お問い合わせください,なし,あり,https://ai-products.net/product/amie-helpbot/
3,AURA-アウラ,Micoworks株式会社,"【継続利用率：98.8%】
LINEで本格的なマーケティングを行うなら、
LINEツールAURA-アウラ",AURAはLINEを使って、煩雑になりがちな顧客管理やマーケティングを効率化し、数字の最適化を実現するサービスです。,"20,000円/月〜",お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/aura/
4,Vareal NLP（自然言語処理）システム構築/導入サービス,Vareal株式会社,Vareal NLP（自然言語処理）システム構築/導入サービス,"お客様のニーズに応じたNLP（自然言語処理）を用いたシステムのコンサルティング、
AIモデル構築、導入支援をいたします。
（例）
- FAQシステムAPIの構築/導入
- 文章レコメンドAPIの構築/導入
- チャットボットの構築/導入",お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/vareal-nlp/
5,AIチャット SCHATTI,株式会社ZeQ,"対応効率35％UP↑ 返答時間20％DOWN↓
学習機能を備えたAI回答補助&チャットボットが
スマートで心地よい顧客体験を創出します","SCHATTI(スチャッティ)は、日々の顧客対応で学習したデータよりAIが最適な回答を提示するチャットシステムです。
使えば使うほど回答精度が上がり、学習データはナレッジとして蓄積されます。
「現場の負担軽減」と「顧客満足度の向上」を実現します。",お問い合せください,お問い合せください,なし,あり,https://ai-products.net/product/schatti/
6,Benefitter,伊藤忠テクノソリューションズ株式会社,"CTCの最適解！働き方を進化させる
DXチャットボットプラットフォーム","Benefitterは、高度なAIボットを短期間で作成できるチャットボット開発プラットフォームです。
社内問い合わせやコールセンターの自動化、社内業務の自動化、マーケティング支援などあらゆるシーンで利用いただけます。","個別見積となりますので、
お問い合わせください。","個別見積となりますので、
お問い合わせください。",なし,あり,https://ai-products.net/product/benefitter/
7,デジタルヒューマン,デジタルヒューマン株式会社,"人間らしさとAIのメリットを融合。
新しい顧客体験を提供する
「対話+感情表現 AIインターフェース」","デジタルヒューマン（Digital Humans）はチャットボットやNLPと連携し、
対話と感情表現で新しい顧客体験を提供するサービスです。
デジタル従業員として、直感的で、インパクトがあり、競争力があるサービス創造と顧客体験が提供できます。","135,000円/月〜",0円,なし,あり,https://ai-products.net/product/digital-human/
8,hachidori,hachidori株式会社,hachidori,"hachidoriは、圧倒的な開発実績とNoCodeで開発可能なユーザビリティを備えた国産初のチャットボットツールです。
LINE／LINE WORKSのパートナーであり、幅広い用途のチャットボットを開発することができます。","月額50,000円～","100,000円～",なし,なし,https://ai-products.net/product/hachidori/
9,kantan chat,マスターピース・グループ株式会社,"最短3ヶ月からの英語チャットサポートサービス
「kantan chat 」","「kantan chat」は最短3ヶ月からの契約期間で利用できる英語チャットサービスです。
当社の英語ネイティブのオペレーターがAI搭載型チャットシステムを使用しチャット対応します。
AIの自動学習により4か月目以降は完全自動対応も可能です。","98,000円","100,000円",なし,なし,https://ai-products.net/product/kantan-chat/
10,goo AI x DESIGN(エーアイクロスデザイン),NTTレゾナント株式会社,"業務効率化、
セールスアシスタントからキャラクター対話まで！
あらゆるビジネス課題にフィットする
貴社だけのAIチャットボット","goo AI x DESIGNはディープラーニング技術を活用した対話AIソリューションです。
単なるツール提供だけでなく、これまでのサービス提供実績から得たノウハウで
貴社課題に合わせたAIチャットボットをデザインします。",お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/goo-ai-x/
